source,category,documents,docs_with_marker,pct_docs_with_marker,total_hits,hits_per_10k_words
complaints,discourse,5000,4,0.0008,4,0.08766815848649691
complaints,cachai_family,5000,0,0.0,0,0.0
complaints,voseo,5000,5,0.001,9,0.19725335659461807
complaints,slang,5000,26,0.0052,27,0.5917600697838542
complaints,weon_family,5000,2,0.0004,2,0.043834079243248454
complaints,internet_chilean,5000,1,0.0002,1,0.021917039621624227
complaints,expressions,5000,83,0.0166,86,1.8848654074596838
mc4,discourse,20000,100,0.005,257,0.2831178791584591
mc4,cachai_family,20000,6,0.0003,9,0.009914633900490785
mc4,voseo,20000,33,0.00165,51,0.05618292543611445
mc4,slang,20000,429,0.02145,829,0.9132479448340957
mc4,weon_family,20000,81,0.00405,249,0.2743048712469117
mc4,internet_chilean,20000,67,0.00335,188,0.20710568592136308
mc4,expressions,20000,72,0.0036,91,0.10024796499385126
news,discourse,10000,6,0.0006,6,0.02078006997342229
news,cachai_family,10000,1,0.0001,1,0.0034633449955703815
news,voseo,10000,2,0.0002,2,0.006926689991140763
news,slang,10000,106,0.0106,134,0.46408822940643113
news,weon_family,10000,14,0.0014,18,0.06234020992026687
news,internet_chilean,10000,10,0.001,14,0.048486829937985344
news,expressions,10000,20,0.002,21,0.07273024490697802
twitter,discourse,20000,119,0.00595,121,4.308457038274053
twitter,cachai_family,20000,13,0.00065,13,0.4628920784922537
twitter,voseo,20000,31,0.00155,35,1.2462479036329908
twitter,slang,20000,224,0.0112,234,8.332057412860566
twitter,weon_family,20000,324,0.0162,351,12.49808611929085
twitter,internet_chilean,20000,262,0.0131,273,9.720733648337328
twitter,expressions,20000,48,0.0024,49,1.7447470650861867
